72 
1 8 2 
8 15 16 
15 22 16 
22 29 30 
29 36 30 
36 43 44 
2 9 3 
9 16 17 
16 23 17 
23 30 31 
30 37 31 
37 44 45 
3 10 4 
10 17 18 
17 24 18 
24 31 32 
31 38 32 
38 45 46 
4 11 5 
11 18 19 
18 25 19 
25 32 33 
32 39 33 
39 46 47 
5 12 6 
12 19 20 
19 26 20 
26 33 34 
33 40 34 
40 47 48 
6 13 7 
13 20 21 
20 27 21 
27 34 35 
34 41 35 
41 48 49 
2 8 9 
9 8 16 
16 22 23 
23 22 30 
30 36 37 
37 36 44 
3 9 10 
10 9 17 
17 23 24 
24 23 31 
31 37 38 
38 37 45 
4 10 11 
11 10 18 
18 24 25 
25 24 32 
32 38 39 
39 38 46 
5 11 12 
12 11 19 
19 25 26 
26 25 33 
33 39 40 
40 39 47 
6 12 13 
13 12 20 
20 26 27 
27 26 34 
34 40 41 
41 40 48 
7 13 14 
14 13 21 
21 27 28 
28 27 35 
35 41 42 
42 41 49 
