         32        32
 SEND DATA INFORMATION
          1         0
          1
          1
         32        32
        166         1       267
        184         1       297
        199         1       403
        217         1       428
        262         1       553
        297         1       632
        300         1       637
        330         1       709
        336         1       723
        343         1       747
        344         1       752
        385         1       858
        386         1       859
        415         1       939
        422         1       964
        458         1      1048
        459         1      1050
        507         1      1159
        530         1      1216
        531         1      1218
        549         1      1263
        574         1      1305
        602         1      1376
        619         1      1412
        646         1      1462
        651         1      1471
        678         1      1515
        702         1      1553
        728         1      1587
        775         1      1638
        807         1      1673
        810         1      1676
 RECEIVE DATA INFORMATION
          1         0
          1
          1
         32        32
        102         1       268
        107         1       277
        150         1       345
        202         1       400
        291         1       548
        296         1       568
        313         1       587
        380         1       710
        387         1       722
        407         1       750
        435         1       785
        437         1       787
        461         1       843
        571         1      1022
        595         1      1061
        622         1      1108
        630         1      1121
        636         1      1130
        654         1      1162
        687         1      1217
        701         1      1244
        757         1      1349
        765         1      1363
        793         1      1411
        814         1      1457
        816         1      1461
        832         1      1498
        839         1      1517
        851         1      1552
        864         1      1644
        865         1      1663
        866         1      1664
