288 
1 14 2 
14 27 15 
27 40 28 
40 53 41 
53 66 54 
66 79 67 
79 92 80 
92 105 93 
105 118 106 
118 131 119 
131 144 132 
144 157 145 
2 15 3 
15 28 16 
28 41 29 
41 54 42 
54 67 55 
67 80 68 
80 93 81 
93 106 94 
106 119 107 
119 132 120 
132 145 133 
145 158 146 
3 16 4 
16 29 17 
29 42 30 
42 55 43 
55 68 56 
68 81 69 
81 94 82 
94 107 95 
107 120 108 
120 133 121 
133 146 134 
146 159 147 
4 17 5 
17 30 18 
30 43 31 
43 56 44 
56 69 57 
69 82 70 
82 95 83 
95 108 96 
108 121 109 
121 134 122 
134 147 135 
147 160 148 
5 18 6 
18 31 19 
31 44 32 
44 57 45 
57 70 58 
70 83 71 
83 96 84 
96 109 97 
109 122 110 
122 135 123 
135 148 136 
148 161 149 
6 19 7 
19 32 20 
32 45 33 
45 58 46 
58 71 59 
71 84 72 
84 97 85 
97 110 98 
110 123 111 
123 136 124 
136 149 137 
149 162 150 
7 20 8 
20 33 21 
33 46 34 
46 59 47 
59 72 60 
72 85 73 
85 98 86 
98 111 99 
111 124 112 
124 137 125 
137 150 138 
150 163 151 
8 21 9 
21 34 22 
34 47 35 
47 60 48 
60 73 61 
73 86 74 
86 99 87 
99 112 100 
112 125 113 
125 138 126 
138 151 139 
151 164 152 
9 22 10 
22 35 23 
35 48 36 
48 61 49 
61 74 62 
74 87 75 
87 100 88 
100 113 101 
113 126 114 
126 139 127 
139 152 140 
152 165 153 
10 23 11 
23 36 24 
36 49 37 
49 62 50 
62 75 63 
75 88 76 
88 101 89 
101 114 102 
114 127 115 
127 140 128 
140 153 141 
153 166 154 
11 24 12 
24 37 25 
37 50 38 
50 63 51 
63 76 64 
76 89 77 
89 102 90 
102 115 103 
115 128 116 
128 141 129 
141 154 142 
154 167 155 
12 25 13 
25 38 26 
38 51 39 
51 64 52 
64 77 65 
77 90 78 
90 103 91 
103 116 104 
116 129 117 
129 142 130 
142 155 143 
155 168 156 
2 14 15 
15 27 28 
28 40 41 
41 53 54 
54 66 67 
67 79 80 
80 92 93 
93 105 106 
106 118 119 
119 131 132 
132 144 145 
145 157 158 
3 15 16 
16 28 29 
29 41 42 
42 54 55 
55 67 68 
68 80 81 
81 93 94 
94 106 107 
107 119 120 
120 132 133 
133 145 146 
146 158 159 
4 16 17 
17 29 30 
30 42 43 
43 55 56 
56 68 69 
69 81 82 
82 94 95 
95 107 108 
108 120 121 
121 133 134 
134 146 147 
147 159 160 
5 17 18 
18 30 31 
31 43 44 
44 56 57 
57 69 70 
70 82 83 
83 95 96 
96 108 109 
109 121 122 
122 134 135 
135 147 148 
148 160 161 
6 18 19 
19 31 32 
32 44 45 
45 57 58 
58 70 71 
71 83 84 
84 96 97 
97 109 110 
110 122 123 
123 135 136 
136 148 149 
149 161 162 
7 19 20 
20 32 33 
33 45 46 
46 58 59 
59 71 72 
72 84 85 
85 97 98 
98 110 111 
111 123 124 
124 136 137 
137 149 150 
150 162 163 
8 20 21 
21 33 34 
34 46 47 
47 59 60 
60 72 73 
73 85 86 
86 98 99 
99 111 112 
112 124 125 
125 137 138 
138 150 151 
151 163 164 
9 21 22 
22 34 35 
35 47 48 
48 60 61 
61 73 74 
74 86 87 
87 99 100 
100 112 113 
113 125 126 
126 138 139 
139 151 152 
152 164 165 
10 22 23 
23 35 36 
36 48 49 
49 61 62 
62 74 75 
75 87 88 
88 100 101 
101 113 114 
114 126 127 
127 139 140 
140 152 153 
153 165 166 
11 23 24 
24 36 37 
37 49 50 
50 62 63 
63 75 76 
76 88 89 
89 101 102 
102 114 115 
115 127 128 
128 140 141 
141 153 154 
154 166 167 
12 24 25 
25 37 38 
38 50 51 
51 63 64 
64 76 77 
77 89 90 
90 102 103 
103 115 116 
116 128 129 
129 141 142 
142 154 155 
155 167 168 
13 25 26 
26 38 39 
39 51 52 
52 64 65 
65 77 78 
78 90 91 
91 103 104 
104 116 117 
117 129 130 
130 142 143 
143 155 156 
156 168 169 
