288 
1 14 2 
14 27 28 
27 40 28 
40 53 54 
53 66 54 
66 79 80 
79 92 80 
92 105 106 
105 118 106 
118 131 132 
131 144 132 
144 157 158 
2 15 3 
15 28 29 
28 41 29 
41 54 55 
54 67 55 
67 80 81 
80 93 81 
93 106 107 
106 119 107 
119 132 133 
132 145 133 
145 158 159 
3 16 4 
16 29 30 
29 42 30 
42 55 56 
55 68 56 
68 81 82 
81 94 82 
94 107 108 
107 120 108 
120 133 134 
133 146 134 
146 159 160 
4 17 5 
17 30 31 
30 43 31 
43 56 57 
56 69 57 
69 82 83 
82 95 83 
95 108 109 
108 121 109 
121 134 135 
134 147 135 
147 160 161 
5 18 6 
18 31 32 
31 44 32 
44 57 58 
57 70 58 
70 83 84 
83 96 84 
96 109 110 
109 122 110 
122 135 136 
135 148 136 
148 161 162 
6 19 7 
19 32 33 
32 45 33 
45 58 59 
58 71 59 
71 84 85 
84 97 85 
97 110 111 
110 123 111 
123 136 137 
136 149 137 
149 162 163 
7 20 8 
20 33 34 
33 46 34 
46 59 60 
59 72 60 
72 85 86 
85 98 86 
98 111 112 
111 124 112 
124 137 138 
137 150 138 
150 163 164 
8 21 9 
21 34 35 
34 47 35 
47 60 61 
60 73 61 
73 86 87 
86 99 87 
99 112 113 
112 125 113 
125 138 139 
138 151 139 
151 164 165 
9 22 10 
22 35 36 
35 48 36 
48 61 62 
61 74 62 
74 87 88 
87 100 88 
100 113 114 
113 126 114 
126 139 140 
139 152 140 
152 165 166 
10 23 11 
23 36 37 
36 49 37 
49 62 63 
62 75 63 
75 88 89 
88 101 89 
101 114 115 
114 127 115 
127 140 141 
140 153 141 
153 166 167 
11 24 12 
24 37 38 
37 50 38 
50 63 64 
63 76 64 
76 89 90 
89 102 90 
102 115 116 
115 128 116 
128 141 142 
141 154 142 
154 167 168 
12 25 13 
25 38 39 
38 51 39 
51 64 65 
64 77 65 
77 90 91 
90 103 91 
103 116 117 
116 129 117 
129 142 143 
142 155 143 
155 168 169 
2 14 15 
15 14 28 
28 40 41 
41 40 54 
54 66 67 
67 66 80 
80 92 93 
93 92 106 
106 118 119 
119 118 132 
132 144 145 
145 144 158 
3 15 16 
16 15 29 
29 41 42 
42 41 55 
55 67 68 
68 67 81 
81 93 94 
94 93 107 
107 119 120 
120 119 133 
133 145 146 
146 145 159 
4 16 17 
17 16 30 
30 42 43 
43 42 56 
56 68 69 
69 68 82 
82 94 95 
95 94 108 
108 120 121 
121 120 134 
134 146 147 
147 146 160 
5 17 18 
18 17 31 
31 43 44 
44 43 57 
57 69 70 
70 69 83 
83 95 96 
96 95 109 
109 121 122 
122 121 135 
135 147 148 
148 147 161 
6 18 19 
19 18 32 
32 44 45 
45 44 58 
58 70 71 
71 70 84 
84 96 97 
97 96 110 
110 122 123 
123 122 136 
136 148 149 
149 148 162 
7 19 20 
20 19 33 
33 45 46 
46 45 59 
59 71 72 
72 71 85 
85 97 98 
98 97 111 
111 123 124 
124 123 137 
137 149 150 
150 149 163 
8 20 21 
21 20 34 
34 46 47 
47 46 60 
60 72 73 
73 72 86 
86 98 99 
99 98 112 
112 124 125 
125 124 138 
138 150 151 
151 150 164 
9 21 22 
22 21 35 
35 47 48 
48 47 61 
61 73 74 
74 73 87 
87 99 100 
100 99 113 
113 125 126 
126 125 139 
139 151 152 
152 151 165 
10 22 23 
23 22 36 
36 48 49 
49 48 62 
62 74 75 
75 74 88 
88 100 101 
101 100 114 
114 126 127 
127 126 140 
140 152 153 
153 152 166 
11 23 24 
24 23 37 
37 49 50 
50 49 63 
63 75 76 
76 75 89 
89 101 102 
102 101 115 
115 127 128 
128 127 141 
141 153 154 
154 153 167 
12 24 25 
25 24 38 
38 50 51 
51 50 64 
64 76 77 
77 76 90 
90 102 103 
103 102 116 
116 128 129 
129 128 142 
142 154 155 
155 154 168 
13 25 26 
26 25 39 
39 51 52 
52 51 65 
65 77 78 
78 77 91 
91 103 104 
104 103 117 
117 129 130 
130 129 143 
143 155 156 
156 155 169 
