         32        32
 SEND DATA INFORMATION
          1         1
          0
          1
         32        32
        102         0       268
        107         0       277
        150         0       345
        202         0       400
        291         0       548
        296         0       568
        313         0       587
        380         0       710
        387         0       722
        407         0       750
        435         0       785
        437         0       787
        461         0       843
        571         0      1022
        595         0      1061
        622         0      1108
        630         0      1121
        636         0      1130
        654         0      1162
        687         0      1217
        701         0      1244
        757         0      1349
        765         0      1363
        793         0      1411
        814         0      1457
        816         0      1461
        832         0      1498
        839         0      1517
        851         0      1552
        864         0      1644
        865         0      1663
        866         0      1664
 RECEIVE DATA INFORMATION
          1         1
          0
          1
         32        32
        166         0       267
        184         0       297
        199         0       403
        217         0       428
        262         0       553
        297         0       632
        300         0       637
        330         0       709
        336         0       723
        343         0       747
        344         0       752
        385         0       858
        386         0       859
        415         0       939
        422         0       964
        458         0      1048
        459         0      1050
        507         0      1159
        530         0      1216
        531         0      1218
        549         0      1263
        574         0      1305
        602         0      1376
        619         0      1412
        646         0      1462
        651         0      1471
        678         0      1515
        702         0      1553
        728         0      1587
        775         0      1638
        807         0      1673
        810         0      1676
