TITLE     = "triangle file"
VARIABLES = "X"
"Y"
ZONE T="TRY"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=2096, Elements=3966, ZONETYPE=FETriangle
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.997532964E-01 -3.585498052E-05
 9.990134239E-01 -1.433155994E-04
 9.977809787E-01 -3.220699145E-04
 9.960573912E-01 -5.715999869E-04
 9.938442111E-01 -8.911862969E-04
 9.911435843E-01 -1.279911958E-03
 9.879583716E-01 -1.736670034E-03
 9.842916131E-01 -2.260169014E-03
 9.801468253E-01 -2.848942997E-03
 9.755282998E-01 -3.501361934E-03
 9.704403877E-01 -4.215640016E-03
 9.648882151E-01 -4.989847075E-03
 9.588773251E-01 -5.821920931E-03
 9.524134994E-01 -6.709675770E-03
 9.455032945E-01 -7.650821935E-03
 9.381533265E-01 -8.642965928E-03
 9.303709865E-01 -9.683633223E-03
 9.221640229E-01 -1.077026967E-02
 9.135403037E-01 -1.190027036E-02
 9.045084715E-01 -1.307095028E-02
 8.950775266E-01 -1.427960023E-02
 8.852565885E-01 -1.552347001E-02
 8.750554919E-01 -1.679977961E-02
 8.644843102E-01 -1.810571924E-02
 8.535534143E-01 -1.943847910E-02
 8.422735929E-01 -2.079520002E-02
 8.306558728E-01 -2.217305079E-02
 8.187119961E-01 -2.356914990E-02
 8.064535260E-01 -2.498064935E-02
 7.938926220E-01 -2.640465088E-02
 7.810416818E-01 -2.783826925E-02
 7.679134011E-01 -2.927858941E-02
 7.545207143E-01 -3.072269075E-02
 7.408767939E-01 -3.216762841E-02
 7.269952297E-01 -3.361042961E-02
 7.128896117E-01 -3.504810110E-02
 6.985738873E-01 -3.647759184E-02
 6.840623021E-01 -3.789585084E-02
 6.693689823E-01 -3.929977119E-02
 6.545084715E-01 -4.068617895E-02
 6.394956112E-01 -4.205190018E-02
 6.243448853E-01 -4.339367151E-02
 6.090716124E-01 -4.470821097E-02
 5.936906934E-01 -4.599215835E-02
 5.782172084E-01 -4.724214971E-02
 5.626665950E-01 -4.845473915E-02
 5.470541716E-01 -4.962648079E-02
 5.313953161E-01 -5.075386912E-02
